v,s,i,dim,label,code
wcde-v1,1,asfr,age,15--19,4
wcde-v1,1,asfr,edu,Total,0
wcde-v1,1,asfr,sex,Both,0
wcde-v1,1,asfr,year,1995,9
wcde-v1,1,asfr,age,20--24,5
wcde-v1,1,asfr,age,25--29,6
wcde-v1,1,asfr,age,30--34,7
wcde-v1,1,asfr,age,35--39,8
wcde-v1,1,asfr,age,40--44,9
wcde-v1,1,asfr,age,45--49,10
wcde-v1,1,asfr,sex,Female,2
wcde-v1,1,asfr,year,2000,10
wcde-v1,1,asfr,year,2005,11
wcde-v1,1,asfr,year,2010,12
wcde-v1,1,asfr,year,2015,13
wcde-v1,1,asfr,year,2020,14
wcde-v1,1,asfr,year,2025,15
wcde-v1,1,asfr,year,2030,16
wcde-v1,1,asfr,year,2035,17
wcde-v1,1,asfr,year,2040,18
wcde-v1,1,asfr,year,2045,19
wcde-v1,1,asfr,year,2050,20
wcde-v1,1,asfr,year,2055,21
wcde-v1,1,asfr,year,2060,22
wcde-v1,1,asfr,year,2065,23
wcde-v1,1,asfr,year,2070,24
wcde-v1,1,asfr,year,2075,25
wcde-v1,1,asfr,year,2080,26
wcde-v1,1,asfr,year,2085,27
wcde-v1,1,asfr,year,2090,28
wcde-v1,1,asfr,year,2095,29
wcde-v1,1,assr,age,Newborn,0
wcde-v1,1,assr,edu,Total,0
wcde-v1,1,assr,sex,Both,0
wcde-v1,1,assr,year,2010,12
wcde-v1,1,assr,age,0--4,1
wcde-v1,1,assr,age,5--9,2
wcde-v1,1,assr,age,10--14,3
wcde-v1,1,assr,age,15--19,4
wcde-v1,1,assr,age,20--24,5
wcde-v1,1,assr,age,25--29,6
wcde-v1,1,assr,age,30--34,7
wcde-v1,1,assr,age,35--39,8
wcde-v1,1,assr,age,40--44,9
wcde-v1,1,assr,age,45--49,10
wcde-v1,1,assr,age,50--54,11
wcde-v1,1,assr,age,55--59,12
wcde-v1,1,assr,age,60--64,13
wcde-v1,1,assr,age,65--69,14
wcde-v1,1,assr,age,70--74,15
wcde-v1,1,assr,age,75--79,16
wcde-v1,1,assr,age,80--84,17
wcde-v1,1,assr,age,85--89,18
wcde-v1,1,assr,age,90--94,19
wcde-v1,1,assr,age,95--99,20
wcde-v1,1,assr,age,100+,21
wcde-v1,1,assr,sex,Male,1
wcde-v1,1,assr,sex,Female,2
wcde-v1,1,assr,year,2015,13
wcde-v1,1,assr,year,2020,14
wcde-v1,1,assr,year,2025,15
wcde-v1,1,assr,year,2030,16
wcde-v1,1,assr,year,2035,17
wcde-v1,1,assr,year,2040,18
wcde-v1,1,assr,year,2045,19
wcde-v1,1,assr,year,2050,20
wcde-v1,1,assr,year,2055,21
wcde-v1,1,assr,year,2060,22
wcde-v1,1,assr,year,2065,23
wcde-v1,1,assr,year,2070,24
wcde-v1,1,assr,year,2075,25
wcde-v1,1,assr,year,2080,26
wcde-v1,1,assr,year,2085,27
wcde-v1,1,assr,year,2090,28
wcde-v1,1,assr,year,2095,29
wcde-v1,1,bmys,age,All,0
wcde-v1,1,bmys,edu,Total,0
wcde-v1,1,bmys,sex,Both,0
wcde-v1,1,bmys,year,1970,4
wcde-v1,1,bmys,age,0--14,1
wcde-v1,1,bmys,age,0--19,2
wcde-v1,1,bmys,age,15+,3
wcde-v1,1,bmys,age,25+,4
wcde-v1,1,bmys,age,20--39,5
wcde-v1,1,bmys,age,40--64,6
wcde-v1,1,bmys,age,60+,7
wcde-v1,1,bmys,age,65+,8
wcde-v1,1,bmys,age,80+,9
wcde-v1,1,bmys,age,20--64,10
wcde-v1,1,bmys,sex,Male,1
wcde-v1,1,bmys,sex,Female,2
wcde-v1,1,bmys,year,1975,5
wcde-v1,1,bmys,year,1980,6
wcde-v1,1,bmys,year,1985,7
wcde-v1,1,bmys,year,1990,8
wcde-v1,1,bmys,year,1995,9
wcde-v1,1,bmys,year,2000,10
wcde-v1,1,bmys,year,2005,11
wcde-v1,1,bmys,year,2010,12
wcde-v1,1,bmys,year,2015,13
wcde-v1,1,bmys,year,2020,14
wcde-v1,1,bmys,year,2025,15
wcde-v1,1,bmys,year,2030,16
wcde-v1,1,bmys,year,2035,17
wcde-v1,1,bmys,year,2040,18
wcde-v1,1,bmys,year,2045,19
wcde-v1,1,bmys,year,2050,20
wcde-v1,1,bmys,year,2055,21
wcde-v1,1,bmys,year,2060,22
wcde-v1,1,bmys,year,2065,23
wcde-v1,1,bmys,year,2070,24
wcde-v1,1,bmys,year,2075,25
wcde-v1,1,bmys,year,2080,26
wcde-v1,1,bmys,year,2085,27
wcde-v1,1,bmys,year,2090,28
wcde-v1,1,bmys,year,2095,29
wcde-v1,1,bmys,year,2100,30
wcde-v1,1,bpop,age,All,0
wcde-v1,1,bpop,edu,Total,0
wcde-v1,1,bpop,sex,Both,0
wcde-v1,1,bpop,year,1970,4
wcde-v1,1,bpop,age,0--14,1
wcde-v1,1,bpop,age,0--19,2
wcde-v1,1,bpop,age,15+,3
wcde-v1,1,bpop,age,25+,4
wcde-v1,1,bpop,age,20--39,5
wcde-v1,1,bpop,age,40--64,6
wcde-v1,1,bpop,age,60+,7
wcde-v1,1,bpop,age,65+,8
wcde-v1,1,bpop,age,80+,9
wcde-v1,1,bpop,age,20--64,10
wcde-v1,1,bpop,sex,Male,1
wcde-v1,1,bpop,sex,Female,2
wcde-v1,1,bpop,year,1975,5
wcde-v1,1,bpop,year,1980,6
wcde-v1,1,bpop,year,1985,7
wcde-v1,1,bpop,year,1990,8
wcde-v1,1,bpop,year,1995,9
wcde-v1,1,bpop,year,2000,10
wcde-v1,1,bpop,year,2005,11
wcde-v1,1,bpop,year,2010,12
wcde-v1,1,bpop,year,2015,13
wcde-v1,1,bpop,year,2020,14
wcde-v1,1,bpop,year,2025,15
wcde-v1,1,bpop,year,2030,16
wcde-v1,1,bpop,year,2035,17
wcde-v1,1,bpop,year,2040,18
wcde-v1,1,bpop,year,2045,19
wcde-v1,1,bpop,year,2050,20
wcde-v1,1,bpop,year,2055,21
wcde-v1,1,bpop,year,2060,22
wcde-v1,1,bpop,year,2065,23
wcde-v1,1,bpop,year,2070,24
wcde-v1,1,bpop,year,2075,25
wcde-v1,1,bpop,year,2080,26
wcde-v1,1,bpop,year,2085,27
wcde-v1,1,bpop,year,2090,28
wcde-v1,1,bpop,year,2095,29
wcde-v1,1,bpop,year,2100,30
wcde-v1,1,cbr,age,All,0
wcde-v1,1,cbr,edu,Total,0
wcde-v1,1,cbr,sex,Both,0
wcde-v1,1,cbr,year,1970,4
wcde-v1,1,cbr,year,1975,5
wcde-v1,1,cbr,year,1980,6
wcde-v1,1,cbr,year,1985,7
wcde-v1,1,cbr,year,1990,8
wcde-v1,1,cbr,year,1995,9
wcde-v1,1,cbr,year,2000,10
wcde-v1,1,cbr,year,2005,11
wcde-v1,1,cbr,year,2010,12
wcde-v1,1,cbr,year,2015,13
wcde-v1,1,cbr,year,2020,14
wcde-v1,1,cbr,year,2025,15
wcde-v1,1,cbr,year,2030,16
wcde-v1,1,cbr,year,2035,17
wcde-v1,1,cbr,year,2040,18
wcde-v1,1,cbr,year,2045,19
wcde-v1,1,cbr,year,2050,20
wcde-v1,1,cbr,year,2055,21
wcde-v1,1,cbr,year,2060,22
wcde-v1,1,cbr,year,2065,23
wcde-v1,1,cbr,year,2070,24
wcde-v1,1,cbr,year,2075,25
wcde-v1,1,cbr,year,2080,26
wcde-v1,1,cbr,year,2085,27
wcde-v1,1,cbr,year,2090,28
wcde-v1,1,cbr,year,2095,29
wcde-v1,1,cdr,age,All,0
wcde-v1,1,cdr,edu,Total,0
wcde-v1,1,cdr,sex,Both,0
wcde-v1,1,cdr,year,1970,4
wcde-v1,1,cdr,year,1975,5
